Case_ID,Group,Case_Type,Cycle_Time,Auth_Time,Evidence_Count,Session_Count,Backlog_Rate,Registration_Date,Verdict_Date,Court,Status
CTRL-001,Control,Cyber Fraud,45,72,1,4,24.5,7/1/2023,8/15/2023,Tehran Criminal Court,Closed
CTRL-002,Control,Cyber Fraud,45,72,2,4,24.5,7/2/2023,8/16/2023,Tehran Criminal Court,Closed
CTRL-003,Control,Unauthorized Access,42,72,1,3,24.5,7/3/2023,8/14/2023,Tehran Criminal Court,Closed
CTRL-004,Control,Cyber Fraud,44,72,2,4,24.5,7/4/2023,8/17/2023,Tehran Criminal Court,Closed
CTRL-005,Control,Digital Forgery,44,72,1,4,24.5,7/5/2023,8/18/2023,Tehran Criminal Court,Closed
CTRL-006,Control,Cyber Fraud,37,72,1,3,24.5,7/6/2023,8/12/2023,Tehran Criminal Court,Closed
CTRL-007,Control,Unauthorized Access,43,72,2,4,24.5,7/7/2023,8/19/2023,Tehran Criminal Court,Closed
CTRL-008,Control,Unauthorized Access,43,72,1,4,24.5,7/8/2023,8/20/2023,Tehran Criminal Court,Closed
CTRL-009,Control,Unauthorized Access,37,72,1,3,24.5,7/9/2023,8/15/2023,Tehran Criminal Court,Closed
CTRL-010,Control,Unauthorized Access,37,72,2,3,24.5,7/10/2023,8/16/2023,Tehran Criminal Court,Closed
CTRL-011,Control,Cyber Fraud,42,72,1,4,24.5,7/11/2023,8/22/2023,Tehran Criminal Court,Closed
CTRL-012,Control,Digital Forgery,42,72,2,4,24.5,7/12/2023,8/23/2023,Tehran Criminal Court,Closed
CTRL-013,Control,Data Breach,42,72,1,4,24.5,7/13/2023,8/24/2023,Tehran Criminal Court,Closed
CTRL-014,Control,Cyber Fraud,42,72,1,4,24.5,7/14/2023,8/25/2023,Tehran Criminal Court,Closed
CTRL-015,Control,Unauthorized Access,42,72,2,4,24.5,7/15/2023,8/26/2023,Tehran Criminal Court,Closed
CTRL-016,Control,Cyber Fraud,42,72,1,4,24.5,7/16/2023,8/27/2023,Tehran Criminal Court,Closed
CTRL-017,Control,Digital Forgery,42,72,1,4,24.5,7/17/2023,8/28/2023,Tehran Criminal Court,Closed
CTRL-018,Control,Cyber Fraud,42,72,2,4,24.5,7/18/2023,8/29/2023,Tehran Criminal Court,Closed
CTRL-019,Control,Unauthorized Access,42,72,1,4,24.5,7/19/2023,8/30/2023,Tehran Criminal Court,Closed
CTRL-020,Control,Data Breach,42,72,1,4,24.5,7/20/2023,8/31/2023,Tehran Criminal Court,Closed
CTRL-021,Control,Cyber Fraud,42,72,2,4,24.5,7/21/2023,9/1/2023,Tehran Criminal Court,Closed
CTRL-022,Control,Cyber Fraud,42,72,1,4,24.5,7/22/2023,9/2/2023,Tehran Criminal Court,Closed
CTRL-023,Control,Unauthorized Access,42,72,1,4,24.5,7/23/2023,9/3/2023,Tehran Criminal Court,Closed
CTRL-024,Control,Digital Forgery,42,72,2,4,24.5,7/24/2023,9/4/2023,Tehran Criminal Court,Closed
CTRL-025,Control,Cyber Fraud,42,72,1,4,24.5,7/25/2023,9/5/2023,Tehran Criminal Court,Closed
CTRL-026,Control,Unauthorized Access,42,72,1,4,24.5,7/26/2023,9/6/2023,Tehran Criminal Court,Closed
CTRL-027,Control,Cyber Fraud,42,72,2,4,24.5,7/27/2023,9/7/2023,Tehran Criminal Court,Closed
CTRL-028,Control,Data Breach,42,72,1,4,24.5,7/28/2023,9/8/2023,Tehran Criminal Court,Closed
CTRL-029,Control,Cyber Fraud,42,72,1,4,24.5,7/29/2023,9/9/2023,Tehran Criminal Court,Closed
CTRL-030,Control,Unauthorized Access,42,72,2,4,24.5,7/30/2023,9/10/2023,Tehran Criminal Court,Closed
CTRL-031,Control,Cyber Fraud,41,72,1,4,24.5,7/31/2023,9/11/2023,Tehran Criminal Court,Closed
CTRL-032,Control,Digital Forgery,41,72,1,4,24.5,8/1/2023,9/12/2023,Tehran Criminal Court,Closed
CTRL-033,Control,Cyber Fraud,41,72,2,4,24.5,8/2/2023,9/13/2023,Tehran Criminal Court,Closed
CTRL-034,Control,Unauthorized Access,41,72,1,4,24.5,8/3/2023,9/14/2023,Tehran Criminal Court,Closed
CTRL-035,Control,Data Breach,41,72,1,4,24.5,8/4/2023,9/15/2023,Tehran Criminal Court,Closed
CTRL-036,Control,Cyber Fraud,41,72,2,4,24.5,8/5/2023,9/16/2023,Tehran Criminal Court,Closed
CTRL-037,Control,Unauthorized Access,41,72,1,4,24.5,8/6/2023,9/17/2023,Tehran Criminal Court,Closed
CTRL-038,Control,Cyber Fraud,41,72,1,4,24.5,8/7/2023,9/18/2023,Tehran Criminal Court,Closed
CTRL-039,Control,Digital Forgery,41,72,2,4,24.5,8/8/2023,9/19/2023,Tehran Criminal Court,Closed
CTRL-040,Control,Cyber Fraud,41,72,1,4,24.5,8/9/2023,9/20/2023,Tehran Criminal Court,Closed
CTRL-041,Control,Unauthorized Access,41,72,1,4,24.5,8/10/2023,9/21/2023,Tehran Criminal Court,Closed
CTRL-042,Control,Data Breach,41,72,2,4,24.5,8/11/2023,9/22/2023,Tehran Criminal Court,Closed
CTRL-043,Control,Cyber Fraud,41,72,1,4,24.5,8/12/2023,9/23/2023,Tehran Criminal Court,Closed
CTRL-044,Control,Unauthorized Access,41,72,1,4,24.5,8/13/2023,9/24/2023,Tehran Criminal Court,Closed
CTRL-045,Control,Cyber Fraud,41,72,2,4,24.5,8/14/2023,9/25/2023,Tehran Criminal Court,Closed
CTRL-046,Control,Digital Forgery,41,72,1,4,24.5,8/15/2023,9/26/2023,Tehran Criminal Court,Closed
CTRL-047,Control,Cyber Fraud,41,72,1,4,24.5,8/16/2023,9/27/2023,Tehran Criminal Court,Closed
CTRL-048,Control,Unauthorized Access,41,72,2,4,24.5,8/17/2023,9/28/2023,Tehran Criminal Court,Closed
CTRL-049,Control,Data Breach,41,72,1,4,24.5,8/18/2023,9/29/2023,Tehran Criminal Court,Closed
CTRL-050,Control,Cyber Fraud,41,72,1,4,24.5,8/19/2023,9/30/2023,Tehran Criminal Court,Closed
CTRL-051,Control,Cyber Fraud,41,72,1,4,24.5,8/20/2023,10/1/2023,Tehran Criminal Court,Closed
CTRL-052,Control,Unauthorized Access,41,72,2,4,24.5,8/21/2023,10/2/2023,Tehran Criminal Court,Closed
CTRL-053,Control,Digital Forgery,41,72,1,4,24.5,8/22/2023,10/3/2023,Tehran Criminal Court,Closed
CTRL-054,Control,Cyber Fraud,41,72,1,4,24.5,8/23/2023,10/4/2023,Tehran Criminal Court,Closed
CTRL-055,Control,Data Breach,41,72,2,4,24.5,8/24/2023,10/5/2023,Tehran Criminal Court,Closed
CTRL-056,Control,Cyber Fraud,41,72,1,4,24.5,8/25/2023,10/6/2023,Tehran Criminal Court,Closed
CTRL-057,Control,Unauthorized Access,41,72,1,4,24.5,8/26/2023,10/7/2023,Tehran Criminal Court,Closed
CTRL-058,Control,Cyber Fraud,41,72,2,4,24.5,8/27/2023,10/8/2023,Tehran Criminal Court,Closed
CTRL-059,Control,Digital Forgery,41,72,1,4,24.5,8/28/2023,10/9/2023,Tehran Criminal Court,Closed
CTRL-060,Control,Unauthorized Access,41,72,1,4,24.5,8/29/2023,10/10/2023,Tehran Criminal Court,Closed
CTRL-061,Control,Cyber Fraud,41,72,2,4,24.5,8/30/2023,10/11/2023,Tehran Criminal Court,Closed
CTRL-062,Control,Data Breach,41,72,1,4,24.5,8/31/2023,10/12/2023,Tehran Criminal Court,Closed
CTRL-063,Control,Cyber Fraud,41,72,1,4,24.5,9/1/2023,10/13/2023,Tehran Criminal Court,Closed
CTRL-064,Control,Unauthorized Access,41,72,2,4,24.5,9/2/2023,10/14/2023,Tehran Criminal Court,Closed
CTRL-065,Control,Digital Forgery,41,72,1,4,24.5,9/3/2023,10/15/2023,Tehran Criminal Court,Closed
CTRL-066,Control,Cyber Fraud,41,72,1,4,24.5,9/4/2023,10/16/2023,Tehran Criminal Court,Closed
CTRL-067,Control,Unauthorized Access,41,72,2,4,24.5,9/5/2023,10/17/2023,Tehran Criminal Court,Closed
CTRL-068,Control,Cyber Fraud,41,72,1,4,24.5,9/6/2023,10/18/2023,Tehran Criminal Court,Closed
CTRL-069,Control,Data Breach,41,72,1,4,24.5,9/7/2023,10/19/2023,Tehran Criminal Court,Closed
CTRL-070,Control,Cyber Fraud,41,72,2,4,24.5,9/8/2023,10/20/2023,Tehran Criminal Court,Closed
CTRL-071,Control,Unauthorized Access,40,72,1,4,24.5,9/9/2023,10/21/2023,Tehran Criminal Court,Closed
CTRL-072,Control,Digital Forgery,40,72,1,4,24.5,9/10/2023,10/22/2023,Tehran Criminal Court,Closed
CTRL-073,Control,Cyber Fraud,40,72,2,4,24.5,9/11/2023,10/23/2023,Tehran Criminal Court,Closed
CTRL-074,Control,Unauthorized Access,40,72,1,4,24.5,9/12/2023,10/24/2023,Tehran Criminal Court,Closed
